,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
0,0,2017-07-05,27.540001,27.559999,27.23,27.35,27.35,21270200
1,1,2017-07-06,26.860001,27.049999,26.1,26.309999,26.309999,76645900
2,2,2017-07-07,26.25,26.299999,25.98,26.15,26.15,40543100
3,3,2017-07-10,26.129999,26.190001,25.85,26.040001,26.040001,46755200
4,4,2017-07-11,26.030001,26.450001,25.91,26.379999,26.379999,41251600
5,5,2017-07-12,26.540001,26.809999,26.370001,26.58,26.58,50986300
6,6,2017-07-13,26.58,26.83,26.5,26.790001,26.790001,27767600
7,7,2017-07-14,26.74,26.9,26.73,26.780001,26.780001,21058300
8,8,2017-07-17,26.76,26.879999,26.719999,26.82,26.82,27695600
9,9,2017-07-18,26.76,26.92,26.74,26.889999,26.889999,26146100
10,10,2017-07-19,26.85,27.030001,26.84,26.940001,26.940001,24792400
11,11,2017-07-20,27.02,27.049999,26.6,26.690001,26.690001,55158100
12,12,2017-07-21,25.379999,26.01,25.26,25.91,25.91,90649900
13,13,2017-07-24,25.780001,25.85,25.35,25.43,25.43,56593800
14,14,2017-07-25,25.57,25.73,25.360001,25.440001,25.440001,45999946
